iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:FixedAssetProjectAccountingCapability	capability	9			Fixed-Asset Project Accounting Capability	cco:ont00000568	enables:ex:P10751,ex:P10752	An Organization Capability that inheres in an Organization in virtue of its capacity to plan, approve, and account for large capital (fixed-asset) projects over
ex:FleetManagementCapability	capability	4			Fleet Management Capability	cco:ont00000568	enables:ex:P10341	An Organization Capability that inheres in a supply-chain organization in virtue of its capacity to administer the transportation vehicles used for delivering e
ex:HumanCapitalManagementCapability	capability	7			Human Capital Management Capability	cco:ont00000568	enables:ex:P10410,ex:P10413,ex:P10417,ex:P17045,ex:P17046,ex:P20958	An Organization Capability that inheres in an organization in virtue of its capacity to develop and manage its human capital, realized in the human-resources ac
ex:HumanResourcesInformationSystemCapability	capability	7			Human Resources Information System Capability	cco:ont00000568	enables:ex:ActOfAdministration	An Organization Capability that inheres in an Organization in virtue of its capacity to administer and maintain the HR information systems supporting HR, accoun
ex:ITCustomerRelationshipManagementCapability	capability	8			IT Customer Relationship Management Capability	cco:ont00000568	enables:ex:P20608	An Organization Capability that inheres in an IT service provider in virtue of its capacity to establish, coordinate, and sustain relationships with its IT cust
ex:ITInfrastructureManagementCapability	capability	8			IT Infrastructure Management Capability	cco:ont00000568	enables:ex:P20888,ex:P20889,ex:P20890,ex:P20891,ex:P20892,ex:P20893,ex:P20915,ex:P20916,ex:P20917,ex:P20918,ex:P20919,ex:P20920	An Organization Capability that inheres in an IT service provider in virtue of its capacity to plan, administer, and maintain the IT infrastructure resources, i
ex:ITInterdependencyManagementCapability	capability	8	8.2.5.7	20689	IT Projects and Services Interdependency Management Capability	cco:ont00000568	enables:ex:P20690	An Organization Capability that inheres in an IT service provider in virtue of its capacity to manage the interdependencies among IT projects and services requi
ex:ITRiskManagementCapability	capability	8			IT Risk Management Capability	cco:ont00000568	enables:ex:P20706,ex:P20721	An Organization Capability that inheres in an IT service provider in virtue of its capacity to identify, evaluate, mitigate, and control risks to its IT operati
ex:ITRollBackManagementCapability	capability	8	8.6.2.7	20839	IT Roll-Back Management Capability	cco:ont00000568	enables:ex:P20857	An Organization Capability that is realized in acts of executing IT roll-back plans to return a deployment to its previous operating state.
ex:ITServiceManagementCapability	capability	8			IT Service Management Capability	cco:ont00000568	enables:ex:P20632	An Organization Capability that inheres in an IT service provider in virtue of its capacity to design, deliver, manage, and improve the IT services used within 
ex:ITStrategicAlignmentMaintenanceCapability	capability	8	8.2.1.6	20659	IT Strategic Alignment Maintenance Capability	cco:ont00000568	enables:ex:P20657	An Organization Capability that inheres in an IT service provider in virtue of its capacity to keep the organization's business divisions and staff continuously
ex:ITStrategicIntelligenceCapability	capability	8	8.2.1.1	20654	IT Strategic Intelligence Capability	cco:ont00000568	enables:ex:P20655	An Organization Capability that inheres in an IT service provider in virtue of its capacity to understand business trends presenting threats or opportunities fo
ex:ITSupportCapability	capability	8			IT Support Capability	cco:ont00000568	enables:ex:P20921,ex:P20923	An Organization Capability that inheres in an IT service provider in virtue of its capacity to provide support to users of its IT services and solutions, includ
ex:ImportExportControlCapability	capability	9			Import-Export Control Capability	cco:ont00000568	enables:ex:P17059	An Organization Capability that is realized in the ongoing oversight and direction of the flow of trade into and out of an organization so as to secure financia
ex:InformationManagementCapability	capability	8			Information Management Capability	cco:ont00000568	enables:ex:P20766,ex:P20770,ex:P20776,ex:P20779	An Organization Capability that inheres in an organization in virtue of its capacity to govern, administer, and control its information and content across the i
ex:IntellectualPropertyManagementCapability	capability	12			Intellectual Property Management Capability	cco:ont00000568	enables:ex:P11049,ex:P12771,ex:P16826	An Organization Capability that inheres in an Organization in virtue of its capacity to secure, maintain, protect, value, and govern its intellectual property r
ex:InternalAuditManagementCapability	capability	11			Internal Audit Management Capability	cco:ont00000568	enables:ex:P10871,ex:P10889,ex:P20782	An Organization Capability that inheres in an organization in virtue of its capacity to plan, conduct, and report on internal audits of its accounts and perform
ex:InternalControlCapability	capability	9			Internal Control Capability	cco:ont00000568	enables:ex:P10762,ex:P10764,ex:P21574	An Organization Capability that inheres in an Organization in virtue of its capacity to establish, operate, monitor, and report on internal controls over financ
ex:InternationalFundsManagementCapability	capability	9			International Funds Management Capability	cco:ont00000568	enables:ex:P10767,ex:P10768,ex:P10769,ex:P10770	An Organization Capability that is realized in acts of monitoring international rates and currency exposure, managing cross-border fund transfers, hedging curre
ex:InvestorRelationsCapability	capability	12			Investor Relations Capability	cco:ont00000568	enables:ex:P11010	An Organization Capability that inheres in an Organization in virtue of its capacity to integrate finance, communication, and securities-law compliance so as to
ex:JobFamilyManagementCapability	capability	7			Job Family Management Capability	cco:ont00000568		An Organization Capability that inheres in an organization's human resources function in virtue of its capacity to oversee groupings of positions sharing simila
ex:KnowledgeManagementCapability	capability	13			Knowledge Management Capability	cco:ont00000568	enables:ex:P11095,ex:P11096,ex:P20965,ex:P20969	An Organization Capability that inheres in an Organization in virtue of its capacity to develop strategy for, assess, design, implement, and sustain the managem
ex:LaborManagementPartnershipCapability	capability	7			Labor-Management Partnership Capability	cco:ont00000568		An Organization Capability that inheres in an Organization in virtue of its capacity to develop and sustain a lasting cooperative relationship between labor and
ex:LaborRelationsCapability	capability	7			Labor Relations Capability	cco:ont00000568	enables:ex:P10484,ex:P10531	An Organization Capability that inheres in an Organization in virtue of its capacity to administer the relationship between labor and management, realized in ac
ex:LegalAndComplianceCapability	capability	12			Legal and Compliance Capability	cco:ont00000568	enables:ex:P11013,ex:P11045,ex:P11047,ex:P11048,ex:P11049	An Organization Capability that inheres in an Organization in virtue of its capacity to conduct legal and ethical practices and to validate adherence to applica
ex:LenderRelationsManagementCapability	capability	12			Lender Relations Management Capability	ex:StakeholderRelationshipManagementCapability	enables:ex:P11035	An Organization Capability that inheres in an Organization in virtue of its capacity to build, maintain, and advance ongoing relationships with bankers and lend
ex:LogisticsManagementCapability	capability	4			Logistics Management Capability	ex:SupplyChainManagementCapability	enables:ex:P10338,ex:P10340,ex:P10341,ex:P20936	A Supply Chain Management Capability that is realized in acts of governing logistics, managing inbound material flow, operating warehousing, and operating outbo
ex:MarketIntelligenceCapability	capability	3			Market Intelligence Capability	cco:ont00000568	enables:ex:P10101,ex:P10106,ex:P10107	An Organization Capability that is realized in Acts of gathering and analyzing market and customer intelligence.
